book,chapter,verse,author,author type,traditional author,traditional author type,audience type,speaker,listener,raw type,type,reason
Matthew,Matthew:5,Matthew:5:19,anon_matthew,Jewish Christian,matthew,Jewish Christian,Jewish Christian,Jesus,crowds,any of the laws from Moses,torah,"Jesus uses the word commandments as belonging to the Law in general, noting that there are smaller commandments, and greater commandments"
Matthew,Matthew:15,Matthew:15:3,anon_matthew,Jewish Christian,matthew,Jewish Christian,Jewish Christian,Jesus,scribes and Pharisees,any of the laws from Moses,torah,"Jesus uses two examples for the broken commandment: one from the decalogue - Ex 20:12, and one mentioned twice elsewhere - Ex.21:17, Lev 20:9"
Matthew,Matthew:19,Matthew:19:17,anon_matthew,Jewish Christian,matthew,Jewish Christian,Jewish Christian,Jesus,rich young man,any of the laws from Moses,torah,"Jesus lists 5 from the decalogue, but add part from an external: Lev. 19:18"
Matthew,Matthew:22,Matthew:22:36,anon_matthew,Jewish Christian,matthew,Jewish Christian,Jewish Christian,lawyer,Jesus,,,not enough context from this side of conversation
Matthew,Matthew:22,Matthew:22:38,anon_matthew,Jewish Christian,matthew,Jewish Christian,Jewish Christian,Jesus,lawyer,any of the laws from Moses,torah,Jesus uses part of Lev. 19:18 and Deut. 6:5
Matthew,Matthew:22,Matthew:22:40,anon_matthew,Jewish Christian,matthew,Jewish Christian,Jewish Christian,Jesus,lawyer,any of the laws from Moses,torah,Jesus uses part of Lev. 19:18 and Deut. 6:5
Mark,Mark:7,Mark:7:7,anon_mark,Jewish Christian,mark,Jewish Christian,Gentile Christian,Jesus,scribes and Pharisees,man made,other,"phrase is ""commandments of men"""
Mark,Mark:7,Mark:7:8,anon_mark,Jewish Christian,mark,Jewish Christian,Gentile Christian,Jesus,scribes and Pharisees,any of the laws from Moses,torah,"Jesus uses two examples in v. 10 for the broken commandment: one from the decalogue - Ex 20:12, and one mentioned twice elsewhere - Ex.21:17, Lev 20:9"
Mark,Mark:7,Mark:7:9,anon_mark,Jewish Christian,mark,Jewish Christian,Gentile Christian,Jesus,scribes and Pharisees,any of the laws from Moses,torah,"Jesus uses two examples in v. 10 for the broken commandment: one from the decalogue - Ex 20:12, and one mentioned twice elsewhere - Ex.21:17, Lev 20:9"
Mark,Mark:10,Mark:10:5,anon_mark,Jewish Christian,mark,Jewish Christian,Gentile Christian,Jesus,Pharisees,any of the laws from Moses,torah,Jesus used the word referring to the law for divorce.  Deut 24:1 for example.
Mark,Mark:10,Mark:10:19,anon_mark,Jewish Christian,mark,Jewish Christian,Gentile Christian,Jesus,rich young man,,,"Jesus lists only part of the decalogue, but throws in ""defraud not""."
Mark,Mark:12,Mark:12:28,anon_mark,Jewish Christian,mark,Jewish Christian,Gentile Christian,Scribe,Jesus,,,not enough context from this side of conversation
Mark,Mark:12,Mark:12:31,anon_mark,Jewish Christian,mark,Jewish Christian,Gentile Christian,Jesus,scribe,any of the laws from Moses,torah,In Jesus response in the surrounding verses he uses part of Lev. 19:18 and Deut. 6:5
Luke,Luke:1,Luke:1:6,anon_luke,Christian,luke,Gentile Christian,Christian,none,none,,,not enough context
Luke,Luke:15,Luke:15:29,anon_luke,Christian,luke,Gentile Christian,Christian,Jesus,scribes and Pharisees,man made,other,"Used to refer to commandments from father to son, in context of a parable"
Luke,Luke:18,Luke:18:20,anon_luke,Christian,luke,Gentile Christian,Christian,Jesus,rich young man,decalogue,decalogue,"Jesus lists only part of the decalogue,"
Luke,Luke:23,Luke:23:56,anon_luke,Christian,luke,Gentile Christian,Christian,none,none,decalogue,decalogue,used in reference to Sabbath keeping
John,John:10,John:10:18,anon_john,Jewish Christian,john,Jewish Christian,Christian,Jesus,Pharisees,other,other,"Jesus refers to a commandment he received personally from God, not to something from the books of Moses"
John,John:11,John:11:57,anon_john,Jewish Christian,john,Jewish Christian,Christian,none,none,other,other,word used in reference to a command created by priests and Pharisees
John,John:12,John:12:49,anon_john,Jewish Christian,john,Jewish Christian,Christian,Jesus,crowd,other,other,"Jesus refers to a commandment he received personally from God, not to something from the books of Moses"
John,John:13,John:13:50,anon_john,Jewish Christian,john,Jewish Christian,Christian,Jesus,crowd,other,other,"Jesus refers to a commandment he received personally from God, not to something from the books of Moses"
John,John:13,John:13:34,anon_john,Jewish Christian,john,Jewish Christian,Christian,Jesus,disciples,other,other,"Jesus states explicitly that this is a new rule for his followers, from him."
John,John:14,John:14:15,anon_john,Jewish Christian,john,Jewish Christian,Christian,Jesus,disciples,,,"Jesus uses the word to refer to his own commandments.  But he is God, so this could be taken to include the laws from the books of Moses"
